lad_code,transaction_count,median_price_ppd,mean_price_ppd,lower_quartile_ppd,lad_name,region_code,region_name,median_price_ons,median_earnings,affordability_ratio,imd_score_wtd
E07000012,2336,431375.0,496860.3454623288,325000.0,South Cambridgeshire,E12000006,East of England,385000.0,41348.0,10.432789977749833,8.495506485940655
E07000032,2051,235000.0,275021.048756704,170000.0,Amber Valley,E12000004,East Midlands,196000.0,31100.0,7.556270096463023,17.969648798595674
E07000033,1315,185000.0,200235.927756654,135000.0,Bolsover,E12000004,East Midlands,150000.0,30441.0,6.077329916888407,25.046826546196595
E07000034,1483,191250.0,222041.3782872556,149475.0,Chesterfield,E12000004,East Midlands,176000.0,30962.0,6.1769265551320975,24.92567221887175
E07000035,1012,320000.0,378004.1916996048,235000.0,Derbyshire Dales,E12000004,East Midlands,283975.0,28874.0,11.08263489644663,11.89506290124589
E07000036,1497,211000.0,234419.0400801603,168000.0,Erewash,E12000004,East Midlands,188500.0,29102.0,7.250360799945021,18.818497837536185
E07000037,1446,261245.0,294521.2558782849,200000.0,High Peak,E12000004,East Midlands,218000.0,28463.0,9.178407054772864,15.642041432208297
E07000038,1560,240000.0,269531.71025641024,175000.0,North East Derbyshire,E12000004,East Midlands,202000.0,29544.0,8.123476848090982,17.39950295501751
E07000039,1869,260000.0,284110.443552702,200000.0,South Derbyshire,E12000004,East Midlands,218750.0,32938.0,7.893618313194486,14.494147838186658
E07000040,2564,339475.0,393006.66692667705,256000.0,East Devon,E12000009,South West,305000.0,31874.0,10.650530212712557,12.764459062003178
E07000041,1692,300000.0,348297.603427896,235000.0,Exeter,E12000009,South West,275000.0,30138.0,9.954210631096954,16.2149470342696
E07000042,1176,295000.0,337563.5773809524,235000.0,Mid Devon,E12000009,South West,268475.0,29224.0,10.09444292362442,16.927565844035087
E07000043,1475,292000.0,334558.55525423726,220000.0,North Devon,E12000009,South West,280000.0,27526.0,10.608152292378117,20.559420976614767
E07000044,1670,375000.0,458243.8634730539,270000.0,South Hams,E12000009,South West,350000.0,28329.0,13.237318648734512,13.72366664703249
E07000045,2079,300000.0,337743.70418470417,225000.0,Teignbridge,E12000009,South West,280000.0,28636.0,10.476323508869951,15.892973082319925
E07000046,1134,280000.0,313934.664021164,215000.0,Torridge,E12000009,South West,263750.0,26745.0,10.469246588147318,23.269302871275183
E07000047,885,291000.0,341048.9265536723,217500.0,West Devon,E12000009,South West,275000.0,28161.0,10.333439863641203,18.051853220873113
E07000061,1556,280000.0,311350.4524421594,210000.0,Eastbourne,E12000008,South East,272000.0,26893.0,10.411631279515117,22.10972695784901
E07000062,1309,280000.0,303410.7318563789,200000.0,Hastings,E12000008,South East,275000.0,29383.0,9.5293196746418,34.28096148449481
E07000063,1504,387750.0,449746.8018617021,300000.0,Lewes,E12000008,South East,373750.0,32287.0,12.00947749868368,15.758048875320698
E07000064,1537,365000.0,415414.77553675993,265000.0,Rother,E12000008,South East,336885.0,27732.0,13.161690465887784,19.76779132328955
E07000065,2617,385000.0,456127.5517768437,303000.0,Wealden,E12000008,South East,365000.0,27639.0,13.929592242845256,12.311432049237835
E07000066,2259,350000.0,394705.9442231076,290000.0,Basildon,E12000006,East of England,330000.0,32050.0,10.9204368174727,23.24338964886151
E07000067,2348,345000.0,376449.8777683135,273375.0,Braintree,E12000006,East of England,309995.0,32175.0,10.722610722610725,14.72352247392546
E07000068,1193,496680.0,598458.3059513831,365000.0,Brentwood,E12000006,East of England,475000.0,30607.0,16.227660339138104,10.007034579793988
E07000069,1238,355250.0,377204.0718901454,292625.0,Castle Point,E12000006,East of England,338000.0,27524.0,12.906917599186166,16.84158586742016
E07000070,2408,399995.0,447506.27450166113,312375.0,Chelmsford,E12000006,East of England,375000.0,32010.0,12.495938769134645,12.220971938065414
E07000071,2593,325000.0,357380.9251831855,250000.0,Colchester,E12000006,East of England,300000.0,31056.0,10.46496651210716,16.777951859222565
E07000072,1685,510000.0,615987.027893175,390000.0,Epping Forest,E12000006,East of England,496000.0,30038.0,16.978493907716892,15.068371528691
E07000073,1039,325000.0,337739.99230028875,276000.0,Harlow,E12000006,East of England,305000.0,32320.0,10.055693069306932,21.413385140915217
E07000074,959,375000.0,431377.1741397289,310000.0,Maldon,E12000006,East of England,350000.0,25496.0,14.708189519924694,14.168959060231757
E07000075,1430,390000.0,423516.48391608393,327500.0,Rochford,E12000006,East of England,365000.0,26706.0,14.603459896652438,10.449120621654616
E07000076,2685,285000.0,310497.8681564246,218000.0,Tendring,E12000006,East of England,256500.0,27067.0,10.529426977500275,30.484353882502294
E07000077,1474,460000.0,526580.8778833107,365000.0,Uttlesford,E12000006,East of England,427750.0,32124.0,14.319511891420744,9.257571703538524
E07000078,1926,330000.0,426157.1754932503,247125.0,Cheltenham,E12000009,South West,290000.0,35202.0,9.374467359809104,14.260484055509812
E07000079,1323,450000.0,584515.470143613,325000.0,Cotswold,E12000009,South West,396750.0,29655.0,15.174506828528072,11.06075926964979
E07000080,1128,280000.0,316181.3226950355,218000.0,Forest of Dean,E12000009,South West,263000.0,25387.0,11.029266947650372,18.013265595440785
E07000081,1793,252500.0,267884.02286670386,200000.0,Gloucester,E12000009,South West,224747.5,30796.0,8.199116768411482,21.806558091987828
E07000082,1828,343750.0,407508.8605032823,260000.0,Stroud,E12000009,South West,305000.0,32495.0,10.578550546237883,10.796690376282392
E07000083,1718,325000.0,372393.17811408616,255000.0,Tewkesbury,E12000009,South West,280000.0,37088.0,8.762942191544434,12.14215585716259
E07000084,2578,365000.0,420853.7443754849,285250.0,Basingstoke and Deane,E12000008,South East,325000.0,35492.0,10.284007663698862,12.823105477801997
E07000085,1818,430000.0,506396.103960396,320000.0,East Hampshire,E12000008,South East,400000.0,30143.0,14.265335235378032,10.283877154700322
E07000086,2080,340000.0,368478.83461538464,268250.0,Eastleigh,E12000008,South East,312500.0,35362.0,9.614840789548104,10.192133171030497
E07000087,1745,350000.0,387157.7799426934,280000.0,Fareham,E12000008,South East,320000.0,32895.0,10.639914880680957,9.019535387473738
E07000088,1129,250000.0,275744.7723649247,190000.0,Gosport,E12000008,South East,230000.0,30518.0,8.191886755357494,20.541237844661797
E07000089,1426,470000.0,516223.5014025245,345625.0,Hart,E12000008,South East,425000.0,30973.0,15.174506828528072,5.544381111287675
E07000090,1669,325000.0,349790.6195326543,250000.0,Havant,E12000008,South East,308500.0,30573.0,10.630294704477809,21.8062772453339
E07000091,2437,385000.0,470614.5650389824,289950.0,New Forest,E12000008,South East,375000.0,30071.0,12.803032822320509,13.014539997210989
E07000092,1272,355000.0,363595.9921383648,260000.0,Rushmoor,E12000008,South East,325000.0,34238.0,10.368596296512647,15.903380440493452
E07000093,1759,360000.0,434021.67140420695,275000.0,Test Valley,E12000008,South East,330000.0,33566.0,10.725138533039384,11.9307779435032
E07000094,1869,465000.0,573445.0652755484,340000.0,Winchester,E12000008,South East,460000.0,34568.0,13.451747280722056,9.61521026586854
E07000095,1256,425000.0,454326.6114649681,340000.0,Broxbourne,E12000006,East of England,390000.0,29980.0,14.176117411607738,17.989346097538185
E07000096,1885,450000.0,543206.5618037136,340000.0,Dacorum,E12000006,East of England,420500.0,18675.0,24.09638554216868,13.004143354896302
E07000098,1123,530000.0,667180.9225289404,390000.0,Hertsmere,E12000006,East of England,530000.0,36000.0,14.72222222222222,13.937791754316237
E07000099,2007,422000.0,482368.8400597908,320000.0,North Hertfordshire,E12000006,East of England,382650.0,33409.0,12.63132688796432,11.62740353010007
E07000102,1139,537500.0,662604.7374890255,394250.0,Three Rivers,E12000006,East of England,493250.0,43202.0,12.441553631776308,9.870606697386622
E07000103,1072,420000.0,462824.8516791045,313500.0,Watford,E12000006,East of England,392000.0,31833.0,13.193855433041184,15.409594521941296
E07000105,1747,345000.0,400959.3720663996,266750.0,Ashford,E12000008,South East,316000.0,29118.0,11.848341232227488,18.54554547872984
E07000106,2107,350000.0,389889.4874228761,270000.0,Canterbury,E12000008,South East,335000.0,29337.0,11.930326890956811,16.797480217708546
E07000107,1579,355000.0,378025.3761874605,280250.0,Dartford,E12000008,South East,335000.0,32428.0,10.947329468360676,18.81152114825511
E07000108,1732,295000.0,337633.6570438799,230000.0,Dover,E12000008,South East,280000.0,31547.0,9.351126890037088,22.161402949420868
E07000109,1003,350000.0,368512.81655034894,280000.0,Gravesham,E12000008,South East,335000.0,34455.0,10.158177332752864,21.414084037270023
E07000110,2356,360000.0,388382.7101018676,275000.0,Maidstone,E12000008,South East,340000.0,31986.0,11.254924029262805,16.50257345487046
E07000111,1503,465000.0,610850.758483034,356750.0,Sevenoaks,E12000008,South East,446000.0,28537.0,16.294635035217436,12.43710195066221
E07000112,1639,310495.0,349997.68517388654,248000.0,Folkestone and Hythe,E12000008,South East,300000.0,31907.0,9.73125019588178,24.149020748739055
